"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDMV"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","1994-05",,"1.05","0.0",,,,,
"USC00040779","BIG PINES PARK FC83B, CA US","34.38333","-117.68333","2086.4","1994-05",,"0.59","0.0",,,,,
"USC00047050","POMONA FAIRPLEX, CA US","34.0816","-117.7658","304.5","1994-05",,"0.14","0.0",,,"52.7",,
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","1994-05",,,"0.0","50.3","61.4","39.3",,
"USC00042713","EL CENTRO 2 SSW, CA US","32.76654","-115.56638","-9.1","1994-05",,"0.14","0.0",,,"61.6",,
"USR0000CBZE","BRAZIE RANCH CALIFORNIA, CA US","41.6853","-122.5942","914.4","1994-05",,,,"59.7","72.7","46.7",,
"USC00042941","FAIRMONT, CA US","34.705","-118.4297","932.7","1994-05",,"0.46","0.0","62.5","73.3","51.7",,
"USC00049452","WASCO, CA US","35.5892","-119.352","88.7","1994-05",,"0.98","0.0",,,"53.7",,
"USC00049694","WILLOW CREEK 1 NW, CA US","40.9466","-123.6363","141.4","1994-05",,"1.98","0.0",,,,,
"USC00040521","BARSTOW, CA US","34.8927","-117.0219","676.7","1994-05",,,,"70.1","85.6","54.6",,
"USC00049699","WILLOWS 6 W, CA US","39.52316","-122.3048","71.3","1994-05",,"1.51","0.0","65.5","79.5","51.4",,
"USC00049582","WEST POINT, CA US","38.3775","-120.5452","845.8","1994-05",,"1.92","0.0",,,,,
"USC00046194","NICOLAUS NUMBER 2, CA US","38.9261","-121.5447","13.1","1994-05",,"0.66","0.0",,,,,
"USC00048490","STANDISH HICKEY ST PK, CA US","39.87778","-123.7275","260.0","1994-05",,"3.05","0.0",,,,,
"USC00041614","CEDARVILLE, CA US","41.5301","-120.1791","1428.9","1994-05",,"1.14","0.0","56.0","68.6","43.5",,
"USC00043914","HENSHAW DAM, CA US","33.2372","-116.7614","823.0","1994-05",,"0.17","0.0","58.2","72.8","43.7",,
"USC00042706","EL CAJON, CA US","32.8005","-116.928","150.9","1994-05",,"0.02","0.0","64.1","72.8","55.3",,
"USR0000CWAR","WARM SPRINGS CALIFORNIA, CA US","34.5958","-118.5786","1502.7","1994-05",,,,"56.7","66.3","47.1",,
"USC00046175","NEWPORT BEACH HARBOR, CA US","33.6031","-117.8836","3.0","1994-05",,"0.10","0.0","59.3","62.3","56.2",,
"USC00048353","SONORA, CA US","37.9672","-120.3872","510.5","1994-05",,"2.23","0.0","61.0","75.1","46.9",,
"USC00049200","VACAVILLE, CA US","38.39556","-121.96083","33.5","1994-05",,"1.05","0.0","64.8","80.5","49.1",,
"USC00049684","WILLITS 1 NE, CA US","39.4194","-123.3425","412.4","1994-05",,,"0.0","55.2","69.2","41.2",,
"USR0000CWAL","WALKER PASS CALIFORNIA, CA US","35.6647","-118.0569","1698.3","1994-05",,,,"60.2","75.5","44.9",,
"USC00049440","WARM SPRINGS DAM, CA US","38.71611","-122.9975","68.3","1994-05",,"0.88","0.0","61.6","76.7","46.4",,"1436.6"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1994-05",,"1.67","0.0","63.9","76.5","51.3",,"819.0"
"USC00048351","SONOMA, CA US","38.2994","-122.4622","29.6","1994-05",,"1.37","0.0","62.0","76.6","47.4",,
"USC00049325","VICTORVILLE, CA US","34.52527","-117.29638","850.1","1994-05",,"0.50","0.0","65.2","81.9","48.5",,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","1994-05",,,,"58.3","69.2","47.4",,
"USC00047150","PRIEST VALLEY, CA US","36.18833","-120.69528","701.0","1994-05",,"1.18","0.0","58.6","75.8","41.3",,
"USC00042934","FAIRFIELD, CA US","38.2736","-122.0677","12.2","1994-05",,"1.26","0.0","63.7","75.4","51.9",,
"USC00041967","CONCORD WASTEWATER PLANT, CA US","37.9833","-122.0692","12.2","1994-05",,"1.48","0.0","64.7","76.1","53.3",,
"USC00041606","CECILVILLE, CA US","41.14167","-123.13917","704.1","1994-05",,"1.30","0.0","61.0","77.4","44.5",,
"USC00042920","EXCHEQUER DAM, CA US","37.353","-120.1623","128.0","1994-05",,"1.68","0.0",,,,,
"USC00047253","RANDSBURG, CA US","35.3692","-117.6525","1088.1","1994-05",,"0.05","0.0","67.2","81.0","53.3",,
"USC00046165","NEWHALL, CA US","34.36667","-118.56667","426.7","1994-05",,"0.48","0.0","62.0","75.3","48.7",,
"USC00049431","WALNUT NI FC102C, CA US","34.00167","-117.86583","148.7","1994-05",,"0.50","0.0",,,,,
"USC00046162","NEWHALL S FC32CE, CA US","34.3869","-118.5341","375.8","1994-05",,"0.50","0.0",,,,,
"USC00040741","BIG BEAR LAKE, CA US","34.243","-116.917","2058.3","1994-05",,"0.29","0.0","50.6","65.8","35.4",,
"USC00040983","BORREGO DESERT PARK, CA US","33.2559","-116.4036","246.9","1994-05",,"0.40","0.0","74.6","89.1","60.1",,
"USC00049671","WILDROSE R S, CA US","36.26556","-117.18528","1249.7","1994-05",,"0.00","0.0","65.6","81.1","50.2",,
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","1994-05",,"1.67","0.0","60.7","75.8","45.6",,
"USC00046168","NEWMAN, CA US","37.2811","-121.0177","27.4","1994-05",,"0.97","0.0","66.3","81.0","51.5",,
"USC00048587","STONY GORGE RESERVOIR, CA US","39.5861","-122.5341","243.8","1994-05",,"1.06","0.0","64.1","78.5","49.7",,
"USC00049560","WESTHAVEN, CA US","36.22722","-119.99667","86.9","1994-05",,"0.89","0.0",,,,,
"USC00041715","CHICO UNIVERSITY FARM, CA US","39.6911","-121.8211","56.4","1994-05",,"1.77","0.0","65.4","78.8","52.0",,"1672.1"
"USC00042805","ELSINORE, CA US","33.686","-117.3458","386.5","1994-05",,"0.12","0.0",,,"52.3",,
"USC00041838","CLOVERDALE, CA US","38.79296","-123.0263","121.9","1994-05",,"1.00","0.0",,,"55.6",,
"USC00048218","SIERRAVILLE RANGER STATION, CA US","39.5833","-120.3705","1516.4","1994-05",,"0.87","0.0",,,,,
"USC00041700","CHESTER, CA US","40.30209","-121.24391","1387.1","1994-05",,"2.33","0.0","53.2","67.7","38.7",,
"USC00046154","NEW CUYAMA FIRE STATION, CA US","34.9455","-119.6827","658.4","1994-05",,"1.03","0.0",,,"44.3",,
"USC00049660","WHITTIER CITY YARD FC106C, CA US","33.9758","-118.0222","135.9","1994-05",,"0.29","0.0",,,,,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","1994-05",,"1.20","0.0","66.5","79.6","53.4",,
"USC00040850","BLACK MOUNTAIN 2 WSW, CA US","37.31667","-122.16667","646.2","1994-05",,"1.68","0.0",,,,,
"USC00045064","LOMPOC, CA US","34.6538","-120.4513","22.9","1994-05",,"0.74","0.0","60.0","70.4","49.7",,
"USC00046399","OJAI, CA US","34.4477","-119.2275","227.1","1994-05",,"0.48","0.0",,,"48.9",,
"USR0000CVAN","VAN BREMMER CALIFORNIA, CA US","41.6431","-121.7939","1502.1","1994-05",,,,"52.8","64.4","41.1",,
"USC00049785","WOODLAND HILLS PIERCE COLLEGE, CA US","34.1819","-118.5744","240.8","1994-05",,"0.35","0.0",,,"49.3",,
"USC00040738","BIG BAR 4 E, CA US","40.7405","-123.2077","381.9","1994-05",,,"0.0",,,,,
